text,language,label
Ninakku sahayam venamo?,Manglish,0
Ninakku aashamsakal!,Manglish,0
നിനക്ക് ഒന്നും പറ്റില്ല.,Malayalam,1
നിനക്ക് ആരും വേണ്ട.,Malayalam,1
Ninakku onnum varilla.,Manglish,1
Ninakku sahayam venamo?,Manglish,0
Ninakku oru future illa.,Manglish,1
സുഖമാണോ?,Malayalam,0
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
You're such a loser.,English,1
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
Why are you even here?,English,1
Nalla job cheythu.,Manglish,0
You're so annoying.,English,1
You're a joke.,English,1
Ninakku onnum varilla.,Manglish,1
നിനക്ക് സഹായം വേണോ?,Malayalam,0
ഇന്ന് നല്ല ദിവസം ആയിരിക്കും.,Malayalam,0
You're such a loser.,English,1
I'm here if you need anything.,English,0
You're pathetic.,English,1
Nee oru waste aanu.,Manglish,1
Aarkkum ninne ishtalla.,Manglish,1
Ninakku aashamsakal!,Manglish,0
Ninakku onnum varilla.,Manglish,1
Ninakku sahayam venamo?,Manglish,0
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
Ninakku aashamsakal!,Manglish,0
Ninakku oru karyavum ariyilla.,Manglish,1
Congrats on your promotion!,English,0
Ninakku abhinandanangal!,Manglish,0
Aarkkum ninne ishtalla.,Manglish,1
You're the dumbest person I know.,English,1
Ninakku oru future illa.,Manglish,1
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
Go cry somewhere else.,English,1
Let's catch up soon.,English,0
Janmadinaashamsakal!,Manglish,0
You're the dumbest person I know.,English,1
Nice to see you today.,English,0
Sukhamaano?,Manglish,0
Ninakku sahayam venamo?,Manglish,0
Poyi kidannu iru.,Manglish,1
നിനക്ക് ഒരു കാര്യമുമില്ല.,Malayalam,1
Innu nalla divasam aakum.,Manglish,0
I'm here if you need anything.,English,0
Ninakku oru karyavum ariyilla.,Manglish,1
Nee oru waste aanu.,Manglish,1
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
നീ വെറുതെ ഇരിക്കു.,Malayalam,1
Ninakku abhinandanangal!,Manglish,0
നിനക്ക് സഹായം വേണോ?,Malayalam,0
Nale kaanam.,Manglish,0
You're a joke.,English,1
You're a waste of space.,English,1
You're such a loser.,English,1
Ninakku aashamsakal!,Manglish,0
You're such a loser.,English,1
Ninakku aashamsakal!,Manglish,0
Ninakku oru future illa.,Manglish,1
You're such a loser.,English,1
You're a waste of space.,English,1
You're a joke.,English,1
You're the dumbest person I know.,English,1
Nale kaanam.,Manglish,0
നിനക്ക് ഒന്നും പറ്റില്ല.,Malayalam,1
You're a joke.,English,1
Happy birthday!,English,0
Nice to see you today.,English,0
Nobody likes you.,English,1
നിനക്ക് ആരും വേണ്ട.,Malayalam,1
Ninte presence thanne oru burden aanu.,Manglish,1
നീ ഒരു ബുദ്ധിമുട്ടാണ്.,Malayalam,1
You're a joke.,English,1
Good luck with your exams!,English,0
Congrats on your promotion!,English,0
Ninte mugham kandittu chirikkunnu.,Manglish,1
നീ ഒരു ബുദ്ധിമുട്ടാണ്.,Malayalam,1
Happy birthday!,English,0
Nee oru budhimuttan aanu.,Manglish,1
Ninte presence thanne oru burden aanu.,Manglish,1
You're so annoying.,English,1
ഇന്ന് നല്ല ദിവസം ആയിരിക്കും.,Malayalam,0
Good luck with your exams!,English,0
You're such a loser.,English,1
Let's catch up soon.,English,0
നീ വെറുതെ ഇരിക്കു.,Malayalam,1
No one cares about you.,English,1
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
നീ ഒരു ബുദ്ധിമുട്ടാണ്.,Malayalam,1
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
You're such a loser.,English,1
Nale kaanam.,Manglish,0
Ninte mugham kandittu chirikkunnu.,Manglish,1
നല്ല ജോലി ചെയ്തു.,Malayalam,0
Ninte mugham kandittu chirikkunnu.,Manglish,1
ഇന്ന് നല്ല ദിവസം ആയിരിക്കും.,Malayalam,0
How was your day?,English,0
സുഖമാണോ?,Malayalam,0
Ninte presence thanne oru burden aanu.,Manglish,1
നിനക്ക് ആശംസകൾ!,Malayalam,0
നീ വെറുതെ ഇരിക്കു.,Malayalam,1
Nice to see you today.,English,0
ശുഭദിനം!,Malayalam,0
You did a great job!,English,0
You're the dumbest person I know.,English,1
Nee oru waste aanu.,Manglish,1
ജന്മദിനാശംസകൾ!,Malayalam,0
Nobody likes you.,English,1
Nale kaanam.,Manglish,0
You did a great job!,English,0
Ninte mugham kandittu chirikkunnu.,Manglish,1
Shubhadinam!,Manglish,0
Sukhamaano?,Manglish,0
Innu nalla divasam aakum.,Manglish,0
You're a waste of space.,English,1
ജന്മദിനാശംസകൾ!,Malayalam,0
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
നിനക്ക് ഒന്നും പറ്റില്ല.,Malayalam,1
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
നാളെ കാണാം.,Malayalam,0
Ninakku oru karyavum ariyilla.,Manglish,1
ജന്മദിനാശംസകൾ!,Malayalam,0
No one cares about you.,English,1
നിനക്ക് സഹായം വേണോ?,Malayalam,0
Nalla job cheythu.,Manglish,0
നിനക്ക് സഹായം വേണോ?,Malayalam,0
Good luck with your exams!,English,0
Ninakku abhinandanangal!,Manglish,0
Innu nalla divasam aakum.,Manglish,0
സുഖമാണോ?,Malayalam,0
നിനക്ക് ആരും വേണ്ട.,Malayalam,1
How was your day?,English,0
Ninte presence thanne oru burden aanu.,Manglish,1
Ninte presence thanne oru burden aanu.,Manglish,1
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
നിനക്ക് ആശംസകൾ!,Malayalam,0
Aarkkum ninne ishtalla.,Manglish,1
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
Happy birthday!,English,0
Ninakku onnum varilla.,Manglish,1
നിനക്ക് ആരും വേണ്ട.,Malayalam,1
Ninakku oru future illa.,Manglish,1
നിനക്ക് ആരും വേണ്ട.,Malayalam,1
You did a great job!,English,0
Ninte jeevitham oru joke aanu.,Manglish,1
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
Nee oru budhimuttan aanu.,Manglish,1
Ninakku oru future illa.,Manglish,1
സുഖമാണോ?,Malayalam,0
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
Innu nalla divasam aakum.,Manglish,0
You're a waste of space.,English,1
I'm here if you need anything.,English,0
Ninakku onnum varilla.,Manglish,1
Nice to see you today.,English,0
Nee oru waste aanu.,Manglish,1
നിനക്ക് സഹായം വേണോ?,Malayalam,0
Innu nalla divasam aakum.,Manglish,0
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
നിനക്ക് ആശംസകൾ!,Malayalam,0
നീ ഒരു പാഴ്‌വസ്തു.,Malayalam,1
ഇന്ന് നല്ല ദിവസം ആയിരിക്കും.,Malayalam,0
Ninte jeevitham oru joke aanu.,Manglish,1
നല്ല ജോലി ചെയ്തു.,Malayalam,0
നാളെ കാണാം.,Malayalam,0
No one cares about you.,English,1
Ninakku oru future illa.,Manglish,1
Ninakku onnum varilla.,Manglish,1
You're the dumbest person I know.,English,1
"That was really helpful, thanks!",English,0
നല്ല ജോലി ചെയ്തു.,Malayalam,0
How was your day?,English,0
Ninte mugham kandittu chirikkunnu.,Manglish,1
Ninakku onnum varilla.,Manglish,1
Ninte presence thanne oru burden aanu.,Manglish,1
Nee oru waste aanu.,Manglish,1
Go cry somewhere else.,English,1
You're pathetic.,English,1
Good luck with your exams!,English,0
Go cry somewhere else.,English,1
You did a great job!,English,0
Nobody likes you.,English,1
സുഖമാണോ?,Malayalam,0
നീ ഒരു ബുദ്ധിമുട്ടാണ്.,Malayalam,1
Nalla job cheythu.,Manglish,0
Ninakku oru future illa.,Manglish,1
You're a joke.,English,1
Congrats on your promotion!,English,0
Ninakku aashamsakal!,Manglish,0
You're such a loser.,English,1
Ninte presence thanne oru burden aanu.,Manglish,1
Ninte mugham kandittu chirikkunnu.,Manglish,1
നിന്റെ മുഖം കാണാനേ പറ്റില്ല.,Malayalam,1
ശുഭദിനം!,Malayalam,0
Good luck with your exams!,English,0
Ninakku oru karyavum ariyilla.,Manglish,1
Ninakku onnum varilla.,Manglish,1
നിനക്ക് ആരും വേണ്ട.,Malayalam,1
സുഖമാണോ?,Malayalam,0
Ninakku sahayam venamo?,Manglish,0
No one cares about you.,English,1
You're the dumbest person I know.,English,1
Aarkkum ninne ishtalla.,Manglish,1
നീ ഒരു ബുദ്ധിമുട്ടാണ്.,Malayalam,1
Ninakku oru future illa.,Manglish,1
Ninakku aashamsakal!,Manglish,0
നല്ല ജോലി ചെയ്തു.,Malayalam,0
You're pathetic.,English,1
Nee oru budhimuttan aanu.,Manglish,1
Ninte presence thanne oru burden aanu.,Manglish,1
Good luck with your exams!,English,0
Why are you even here?,English,1
Why are you even here?,English,1
You're so annoying.,English,1
Nice to see you today.,English,0
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
Why are you even here?,English,1
You're so annoying.,English,1
Janmadinaashamsakal!,Manglish,0
You're a waste of space.,English,1
നീ ഒരു പാഴ്‌വസ്തു.,Malayalam,1
നിന്റെ മുഖം കാണാനേ പറ്റില്ല.,Malayalam,1
You're a joke.,English,1
Ninte presence thanne oru burden aanu.,Manglish,1
Shubhadinam!,Manglish,0
ജന്മദിനാശംസകൾ!,Malayalam,0
Happy birthday!,English,0
നിനക്ക് ഒരു കാര്യമുമില്ല.,Malayalam,1
നല്ല ജോലി ചെയ്തു.,Malayalam,0
നല്ല ജോലി ചെയ്തു.,Malayalam,0
"That was really helpful, thanks!",English,0
നീ ഒരു പാഴ്‌വസ്തു.,Malayalam,1
Ninte jeevitham oru joke aanu.,Manglish,1
Ninakku onnum varilla.,Manglish,1
"That was really helpful, thanks!",English,0
Ninakku sahayam venamo?,Manglish,0
Go cry somewhere else.,English,1
Ninakku onnum varilla.,Manglish,1
Nice to see you today.,English,0
നിന്റെ മുഖം കാണാനേ പറ്റില്ല.,Malayalam,1
Ninakku oru future illa.,Manglish,1
Ninakku abhinandanangal!,Manglish,0
Let's catch up soon.,English,0
നിനക്ക് ആശംസകൾ!,Malayalam,0
Nobody likes you.,English,1
You're such a loser.,English,1
You're a waste of space.,English,1
നിന്റെ മുഖം കാണാനേ പറ്റില്ല.,Malayalam,1
Ninakku aashamsakal!,Manglish,0
നീ ഒരു ബുദ്ധിമുട്ടാണ്.,Malayalam,1
"That was really helpful, thanks!",English,0
You're a waste of space.,English,1
"That was really helpful, thanks!",English,0
You're the dumbest person I know.,English,1
നല്ല ജോലി ചെയ്തു.,Malayalam,0
You did a great job!,English,0
Ninte presence thanne oru burden aanu.,Manglish,1
You're such a loser.,English,1
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
You're pathetic.,English,1
How was your day?,English,0
You're a waste of space.,English,1
നാളെ കാണാം.,Malayalam,0
നിനക്ക് ഒന്നും പറ്റില്ല.,Malayalam,1
നിനക്ക് സഹായം വേണോ?,Malayalam,0
Nee oru budhimuttan aanu.,Manglish,1
നിന്റെ മുഖം കാണാനേ പറ്റില്ല.,Malayalam,1
Happy birthday!,Manglish,0
How was your day?,English,0
Ninte jeevitham oru joke aanu.,Manglish,1
You're a joke.,English,1
Ninakku oru future illa.,Manglish,1
നിനക്ക് സഹായം വേണോ?,Malayalam,0
How was your day?,English,0
Nalla job cheythu.,Manglish,0
നീ ഒരു തോൽവിയാണു.,Malayalam,1
നിനക്ക് ആശംസകൾ!,Malayalam,0
നല്ല ജോലി ചെയ്തു.,Malayalam,0
No one cares about you.,English,1
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
നിനക്ക് ആരും വേണ്ട.,Malayalam,1
Ninte jeevitham oru joke aanu.,Manglish,1
You're a waste of space.,English,1
Why are you even here?,English,1
ശുഭദിനം!,Malayalam,0
Ninakku oru future illa.,Manglish,1
Nee oru budhimuttan aanu.,Manglish,1
You're the dumbest person I know.,English,1
Ninakku abhinandanangal!,Manglish,0
You're a waste of space.,English,1
ജന്മദിനാശംസകൾ!,Malayalam,0
I'm here if you need anything.,English,0
You're the dumbest person I know.,English,1
Nice to see you today.,English,0
I'm here if you need anything.,Manglish,0
Why are you even here?,English,1
Nice to see you today.,English,0
You did a great job!,English,0
Nobody likes you.,English,1
Ninte jeevitham oru joke aanu.,Manglish,1
Good luck with your exams!,English,0
Good luck with your exams!,English,0
Nobody likes you.,English,1
I'm here if you need anything.,English,0
Good luck with your exams!,English,0
Nee oru budhimuttan aanu.,Manglish,1
No one cares about you.,English,1
Ninte presence thanne oru burden aanu.,Manglish,1
"That was really helpful, thanks!",English,0
Shubhadinam!,Manglish,0
You're the dumbest person I know.,English,1
Congrats on your promotion!,English,0
You're pathetic.,English,1
You're a waste of space.,English,1
Happy birthday!,English,0
You did a great job!,English,0
ശുഭദിനം!,Malayalam,0
I'm here if you need anything.,English,0
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
നിനക്ക് ആരും വേണ്ട.,Malayalam,1
Shubhadinam!,Manglish,0
"That was really helpful, thanks!",English,0
Innale kandilla alle.,Manglish,0
Aarkkum ninne ishtalla.,Manglish,1
You're a joke.,English,1
You're pathetic.,English,1
Ninte presence thanne oru burden aanu.,Manglish,1
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
Shubhadinam!,Manglish,0
നിനക്ക് ആരും വേണ്ട.,Malayalam,1
Janmadinaashamsakal!,Manglish,0
നീ വെറുതെ ഇരിക്കു.,Malayalam,1
You're pathetic.,English,1
Sukhamaano?,Manglish,0
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
നിനക്ക് ഒന്നും പറ്റില്ല.,Malayalam,1
You did a great job!,English,0
You're so annoying.,English,1
Ninte mugham kandittu chirikkunnu.,Manglish,1
You're such a loser.,English,1
Let's catch up soon.,English,0
സുഖമാണോ?,Malayalam,0
Nalla job cheythu.,Manglish,0
Ninakku abhinandanangal!,Manglish,0
You're a joke.,English,1
You did a great job!,English,0
Ninakku abhinandanangal!,Manglish,0
Why are you even here?,English,1
നിനക്ക് ഒന്നും പറ്റില്ല.,Malayalam,1
Go cry somewhere else.,English,1
നല്ല ജോലി ചെയ്തു.,Malayalam,0
ഇന്ന് നല്ല ദിവസം ആയിരിക്കും.,Malayalam,0
Nalla job cheythu.,Manglish,0
No one cares about you.,English,1
Go cry somewhere else.,English,1
നിനക്ക് ഒന്നും പറ്റില്ല.,Malayalam,1
Take care and stay safe.,English,0
Shubhadinam!,Manglish,0
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
Nice to see you today.,English,0
നീ വെറുതെ ഇരിക്കു.,Malayalam,1
Happy birthday!,English,0
Janmadinaashamsakal!,Manglish,0
You're a waste of space.,English,1
Ninakku sahayam venamo?,Manglish,0
Happy birthday!,English,0
നിനക്ക് സഹായം വേണോ?,Malayalam,0
Take care and stay safe.,English,0
Ninte presence thanne oru burden aanu.,Manglish,1
Ninte jeevitham oru joke aanu.,Manglish,1
You're a waste of space.,English,1
നിനക്ക് ഒന്നും പറ്റില്ല.,Malayalam,1
Ninakku sahayam venamo?,Manglish,0
നിന്റെ മുഖം കാണാനേ പറ്റില്ല.,Malayalam,1
No one cares about you.,English,1
Nobody likes you.,English,1
സുഖമാണോ?,Malayalam,0
Ninte presence thanne oru burden aanu.,Manglish,1
How was your day?,English,0
Ninakku sahayam venamo?,Manglish,0
Happy birthday!,English,0
Aarkkum ninne ishtalla.,Manglish,1
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
You're a waste of space.,English,1
Ninakku oru karyavum ariyilla.,Manglish,1
നിനക്ക് സഹായം വേണോ?,Malayalam,0
ഇന്ന് നല്ല ദിവസം ആയിരിക്കും.,Malayalam,0
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
Innu nalla divasam aakum.,Manglish,0
Nice to see you today.,English,0
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
Ninakku sahayam venamo?,Manglish,0
You did a great job!,English,0
Happy birthday!,English,0
Aarkkum ninne ishtalla.,Manglish,1
You're so annoying.,English,1
Nalla job cheythu.,Manglish,0
Ninakku aashamsakal!,Manglish,0
നാളെ കാണാം.,Malayalam,0
നീ ഒരു ബുദ്ധിമുട്ടാണ്.,Malayalam,1
നിനക്ക് ഒരു കാര്യമുമില്ല.,Malayalam,1
Go cry somewhere else.,English,1
Ninakku aashamsakal!,Manglish,0
നിനക്ക് ഒരു കാര്യമുമില്ല.,Malayalam,1
Why are you even here?,English,1
You did a great job!,English,0
Ninakku sahayam venamo?,Manglish,0
Ninakku onnum varilla.,Manglish,1
You're a waste of space.,English,1
Let's catch up soon.,English,0
നിനക്ക് ഒരു കാര്യമുമില്ല.,Malayalam,1
You're a joke.,English,1
നീ ഒരു തോൽവിയാണു.,Malayalam,1
നാളെ കാണാം.,Malayalam,0
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
നിന്റെ മുഖം കാണാനേ പറ്റില്ല.,Malayalam,1
Take care and stay safe.,English,0
"That was really helpful, thanks!",English,0
Take care and stay safe.,English,0
Good luck with your exams!,English,0
Congrats on your promotion!,English,0
നിനക്ക് ആരും വേണ്ട.,Malayalam,1
Ninte jeevitham oru joke aanu.,Manglish,1
"That was really helpful, thanks!",English,0
Aarkkum ninne ishtalla.,Manglish,1
I'm here if you need anything.,English,0
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
Sukhamaano?,Manglish,0
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
Ninakku sahayam venamo?,Manglish,0
You're such a loser.,English,1
നിനക്ക് ഒരു കാര്യമുമില്ല.,Malayalam,1
How was your day?,English,0
നിനക്ക് ആശംസകൾ!,Malayalam,0
Innu nalla divasam aakum.,Manglish,0
You're the dumbest person I know.,English,1
ജന്മദിനാശംസകൾ!,Malayalam,0
You're the dumbest person I know.,English,1
നിനക്ക് ആശംസകൾ!,Malayalam,0
Happy birthday!,Manglish,0
Take care and stay safe.,English,0
You're so annoying.,English,1
No one cares about you.,English,1
Innale kandilla alle.,Manglish,0
നിനക്ക് ആശംസകൾ!,Malayalam,0
നിനക്ക് ഒന്നും പറ്റില്ല.,Malayalam,1
How was your day?,English,0
നീ ഒരു പാഴ്‌വസ്തു.,Malayalam,1
നിനക്ക് സഹായം വേണോ?,Malayalam,0
Nee oru waste aanu.,Manglish,1
Why are you even here?,English,1
No one cares about you.,English,1
Ninakku onnum varilla.,Manglish,1
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
Ninakku oru future illa.,Manglish,1
Congrats on your promotion!,English,0
സുഖമാണോ?,Malayalam,0
Happy birthday!,English,0
Let's catch up soon.,English,0
Good luck with your exams!,English,0
How was your day?,English,0
നിന്റെ മുഖം കാണാനേ പറ്റില്ല.,Malayalam,1
Go cry somewhere else.,English,1
നീ വെറുതെ ഇരിക്കു.,Malayalam,1
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
You did a great job!,English,0
I'm here if you need anything.,English,0
Shubhadinam!,Manglish,0
Ninte presence thanne oru burden aanu.,Manglish,1
Nale kaanam.,Manglish,0
Ninakku onnum varilla.,Manglish,1
Congrats on your promotion!,English,0
You're the dumbest person I know.,English,1
Ninakku sahayam venamo?,Manglish,0
You're a joke.,English,1
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
Aarkkum ninne ishtalla.,Manglish,1
നീ വെറുതെ ഇരിക്കു.,Malayalam,1
Ninakku aashamsakal!,Manglish,0
നീ വെറുതെ ഇരിക്കു.,Malayalam,1
Take care and stay safe.,English,0
Sukhamaano?,Manglish,0
You're the dumbest person I know.,English,1
Sukhamaano?,Manglish,0
You're pathetic.,English,1
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
You're the dumbest person I know.,English,1
Ninakku sahayam venamo?,Manglish,0
You're a waste of space.,English,1
Ninakku oru future illa.,Manglish,1
നീ ഒരു പാഴ്‌വസ്തു.,Malayalam,1
നിനക്ക് സഹായം വേണോ?,Malayalam,0
You're pathetic.,English,1
Innu nalla divasam aakum.,Manglish,0
സുഖമാണോ?,Malayalam,0
Nee oru budhimuttan aanu.,Manglish,1
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
ആര്ക്കും നിന്നെ ഇഷ്ടമില്ല.,Malayalam,1
നീ വെറുതെ ഇരിക്കു.,Malayalam,1
നിനക്ക് ഒന്നും പറ്റില്ല.,Malayalam,1
How was your day?,English,0
Ninte presence thanne oru burden aanu.,Manglish,1
I'm here if you need anything.,Manglish,0
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
Nobody likes you.,English,1
Nee oru budhimuttan aanu.,Manglish,1
Nee oru waste aanu.,Manglish,1
Ninte mugham kandittu chirikkunnu.,Manglish,1
Ninte jeevitham oru joke aanu.,Manglish,1
Aarkkum ninne ishtalla.,Manglish,1
You did a great job!,English,0
Happy birthday!,English,0
Why are you even here?,English,1
നീ ഒരു തോൽവിയാണു.,Malayalam,1
Nice to see you today.,English,0
ഇന്ന് നല്ല ദിവസം ആയിരിക്കും.,Malayalam,0
How was your day?,English,0
Ninakku aashamsakal!,Manglish,0
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
Poyi kidannu iru.,Manglish,1
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
Congrats on your promotion!,English,0
You're the dumbest person I know.,English,1
Good luck with your exams!,English,0
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
നീ വെറുതെ ഇരിക്കു.,Malayalam,1
സുഖമാണോ?,Malayalam,0
Ninakku abhinandanangal!,Manglish,0
You're so annoying.,English,1
"That was really helpful, thanks!",English,0
I'm here if you need anything.,English,0
നീ ഒരു തോൽവിയാണു.,Malayalam,1
Sukhamaano?,Manglish,0
I'm here if you need anything.,English,0
Innu nalla divasam aakum.,Manglish,0
നാളെ കാണാം.,Malayalam,0
Shubhadinam!,Manglish,0
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
Congrats on your promotion!,English,0
Nobody likes you.,English,1
Shubhadinam!,Manglish,0
Ninte mugham kandittu chirikkunnu.,Manglish,1
Ninakku abhinandanangal!,Manglish,0
Congrats on your promotion!,English,0
"That was really helpful, thanks!",English,0
Go cry somewhere else.,English,1
സുഖമാണോ?,Malayalam,0
സുഖമാണോ?,Malayalam,0
നിനക്ക് ആശംസകൾ!,Malayalam,0
You're such a loser.,English,1
Ninte presence thanne oru burden aanu.,Manglish,1
ജന്മദിനാശംസകൾ!,Malayalam,0
Ninakku oru karyavum ariyilla.,Manglish,1
You're such a loser.,English,1
Nale kaanam.,Manglish,0
Innu nalla divasam aakum.,Manglish,0
നിനക്ക് ഒരു കാര്യമുമില്ല.,Malayalam,1
Take care and stay safe.,English,0
"That was really helpful, thanks!",English,0
You did a great job!,English,0
You did a great job!,English,0
No one cares about you.,English,1
Nee oru waste aanu.,Manglish,1
Nobody likes you.,English,1
നീ വെറുതെ ഇരിക്കു.,Malayalam,1
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
You did a great job!,English,0
Nee oru waste aanu.,Manglish,1
Poyi kidannu iru.,Manglish,1
Nice to see you today.,English,0
You're so annoying.,English,1
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
You're pathetic.,English,1
Why are you even here?,English,1
Nee oru budhimuttan aanu.,Manglish,1
Let's catch up soon.,English,0
No one cares about you.,English,1
You're such a loser.,English,1
Ninakku oru future illa.,Manglish,1
നിനക്ക് ആശംസകൾ!,Malayalam,0
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
Innu nalla divasam aakum.,Manglish,0
നീ ഒരു ബുദ്ധിമുട്ടാണ്.,Malayalam,1
Aarkkum ninne ishtalla.,Manglish,1
Ninakku sahayam venamo?,Manglish,0
നിനക്ക് സഹായം വേണോ?,Malayalam,0
Nobody likes you.,English,1
ജന്മദിനാശംസകൾ!,Malayalam,0
You're so annoying.,English,1
You're so annoying.,English,1
You're the dumbest person I know.,English,1
Take care and stay safe.,English,0
നിനക്ക് ഒരു കാര്യമുമില്ല.,Malayalam,1
Let's catch up soon.,English,0
Poyi kidannu iru.,Manglish,1
Happy birthday!,Manglish,0
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
ഇന്നലെ കണ്ടില്ലല്ലോ.,Malayalam,0
Why are you even here?,English,1
Poyi kidannu iru.,Manglish,1
"That was really helpful, thanks!",English,0
ശുഭദിനം!,Malayalam,0
Ninakku onnum varilla.,Manglish,1
No one cares about you.,English,1
Ninakku aashamsakal!,Manglish,0
Happy birthday!,English,0
Nale kaanam.,Manglish,0
Nice to see you today.,English,0
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
നീ ഒരു പാഴ്‌വസ്തു.,Malayalam,1
Take care and stay safe.,English,0
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
നീ ഒരു തോൽവിയാണു.,Malayalam,1
Janmadinaashamsakal!,Manglish,0
നല്ല ജോലി ചെയ്തു.,Malayalam,0
I'm here if you need anything.,English,0
നിനക്ക് സഹായം വേണോ?,Malayalam,0
നിനക്ക് ഒരു കാര്യമുമില്ല.,Malayalam,1
Why are you even here?,English,1
Take care and stay safe.,English,0
Poyi kidannu iru.,Manglish,1
നീ ഒരു ബുദ്ധിമുട്ടാണ്.,Malayalam,1
നിനക്ക് ഒന്നും പറ്റില്ല.,Malayalam,1
Sukhamaano?,Manglish,0
You're a waste of space.,English,1
നീ ഒരു ബുദ്ധിമുട്ടാണ്.,Malayalam,1
You're so annoying.,English,1
Ninte mugham kandittu chirikkunnu.,Manglish,1
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
Ninakku onnum varilla.,Manglish,1
ജന്മദിനാശംസകൾ!,Malayalam,0
Go cry somewhere else.,English,1
ഇന്ന് നല്ല ദിവസം ആയിരിക്കും.,Malayalam,0
നീ ഒരു ബുദ്ധിമുട്ടാണ്.,Malayalam,1
You're such a loser.,English,1
Take care and stay safe.,English,0
You're a joke.,English,1
Nale kaanam.,Manglish,0
How was your day?,English,0
Nobody likes you.,English,1
How was your day?,English,0
Innu nalla divasam aakum.,Manglish,0
നിനക്ക് ഒരു കാര്യമുമില്ല.,Malayalam,1
Take care and stay safe.,English,0
നീ ഒരു തോൽവിയാണു.,Malayalam,1
You're pathetic.,English,1
Ninakku sahayam venamo?,Manglish,0
Ninakku sahayam venamo?,Manglish,0
നിനക്ക് അഭിനന്ദനങ്ങൾ!,Malayalam,0
ശുഭദിനം!,Malayalam,0
Aarkkum ninne ishtalla.,Manglish,1
You're so annoying.,English,1
Nee oru waste aanu.,Manglish,1
നിന്റെ മുഖം കാണാനേ പറ്റില്ല.,Malayalam,1
Go cry somewhere else.,English,1
You're so annoying.,English,1
Ninte mugham kandittu chirikkunnu.,Manglish,1
നിന്റെ存在ം തന്നെ പ്രശ്നമാണ്.,Malayalam,1
You're pathetic.,English,1
You're such a loser.,English,1
Innu nalla divasam aakum.,Manglish,0
